file	role	source	description	restrictions
raw-data/2026-04-06-exp01-installation-test/Homo_sapiens.GRCh38.115.abinitio.gtf.gz	input	Ensembl release 115	GTF file used with process_gtf_test.py during initial validation of the AlphaGenome installation	Downloadable from Ensembl; do not edit manually
raw-data/2026-04-06-exp01-installation-test/mini_clean2.gtf	input	Generated for this project	Reduced GTF file designed for the tests performed with process_gtf.py during exp01	Internal test data
raw-data/2026-04-10-exp02-exon-skipping/Homo_sapiens.GRCh38.115.gtf	input	Ensembl release 115	GRCh38 gene annotation used during development and structural interpretation of the DLG1 case	Downloadable from Ensembl; do not edit manually
raw-data/Homo_sapiens.GRCh38.115.gtf	input	Ensembl release 115	GRCh38 gene annotation used by the final pipeline to obtain exon–intron structure and select the MANE Select transcript	Downloadable from Ensembl; do not edit manually
interm-data/2026-04-10-exp02-exon-skipping/dlg1_exons.gtf	intermediate_data	Derived from Homo_sapiens.GRCh38.115.gtf	Annotation subset containing DLG1 exons used to interpret splice-junction predictions	Regenerable from the Ensembl GTF
interm-data/2026-04-10-exp02-exon-skipping/dlg1_mane_select_exons.tsv	intermediate_data	Derived from Homo_sapiens.GRCh38.115.gtf	Exons of the DLG1 MANE Select transcript ENST00000667157 used to contextualize splicing predictions	Regenerable from the Ensembl GTF
docs/alphagenome.pdf	documentation	Avsec et al. (2026)	AlphaGenome reference article used for methodological development and validation with the DLG1 case	Reference document
docs/41586_2025_10014_MOESM3_ESM.xlsx	documentation	Supplementary material from Avsec et al. (2026)	Supplementary Table 2 used to review track metadata and select ontologies for the analyses	Not versioned in Git; downloadable as supplementary material
environment/environment.yml	environment	Generated for this project	Definition of the Conda environment used to support reproducible analyses	Update when dependencies change
results/2026-04-10-exp02-exon-skipping/	output	Generated by this project	Exploration and validation results for the DLG1 exon-skipping case, including REF/ALT predictions, splicing tables, figures and runlog	Regenerable with the exp02 scripts
results/2026-05-28-exp03-variant-pipeline/CL:0001059-ontology-*/	output	Generated by this project	SEC23B knock-in predictions for CL:0001059 (common myeloid progenitor, CD34-positive), including score_variant, predict_variant, prediction.pkl, figures and traceability files	Regenerable with the exp03 pipeline
results/2026-05-28-exp03-variant-pipeline/CL:0000837-ontology-*/	output	Generated by this project	SEC23B knock-in predictions for CL:0000837 (hematopoietic multipotent progenitor cell), including score_variant, predict_variant, prediction.pkl, figures and traceability files	Regenerable with the exp03 pipeline
results/2026-05-28-exp03-variant-pipeline/CL:0000182-ontology-*/	output	Generated by this project	Complementary SEC23B knock-in analysis for CL:0000182 (hepatocyte)	Regenerable with the exp03 pipeline
results/2026-05-28-exp03-variant-pipeline/CL:0000100-ontology-*/	output	Generated by this project	Complementary SEC23B knock-in analysis for CL:0000100 (motor neuron)	Regenerable with the exp03 pipeline
